ID,full_year_008,Date of publication(260_c_un_2641_c)
450314,1922,1---
450318,1986,1886
450322,1986,19--
450323,1986,19--
453200,1986,19--
459652,2009,199-
459656,1988,19--
459657,1988,19--
459659,1988,19--
459660,1988,19--
459661,1988,19--
459662,1988,19--
459665,1988,19--
459666,1988,19--
459669,1988,19--
459670,1988,19--
459671,1988,19--
459678,1988,19--
459826,1994,19--
479659,1963,19--
479662,1963,19--
479692,1963,19--
479697,1963,19--
479698,1963,19--
479699,1963,19--
479700,1963,19--
479704,1963,izdošanas gads nav zināms
479714,1873,1875
479722,1892,19--
479814,1994,1996
479818,1994,izdošanas gads nav zināms
479820,1994,18--
479821,1994,18--
479834,1994,izdošanas gads nav zināms
479838,1994,izdošanas gads nav zināms
479839,1994,izdošanas gads nav zināms
479840,1994,izdošanas gads nav zināms
479841,1994,izdošanas gads nav zināms
479842,1994,izdošanas gads nav zināms
479845,1994,19--
479846,1994,izdošanas gads nav zināms
479847,1994,izdošanas gads nav zināms
479848,1994,19--
479849,1994,19--
479850,1994,izdošanas gads nav zināms
479851,1994,19--
479852,1994,19--
479853,1994,19--
479854,1994,19--
479855,1994,19--
479856,1994,19--
479857,1994,19--
479858,1994,19--
479859,1994,19--
479860,1994,19--
479861,1994,19--
479866,1922,izdošanas gads nav zināms
481299,1922,19--
483752,1922,19--
483760,1922,19--
483841,1922,19--
484267,1963,198-
484270,1861,1884
484327,1980,1989
484331,1997,19--
484332,1997,19--
484336,1997,izdošanas gads nav zināms
484341,1997,1---
486467,2010,19--
490550,1990,19--
490687,1986,19--
490703,1986,19--
490829,1986,19--
492135,1998,izdošanas gads nav zināms
494172,1981,19--
499642,1937,1937-1938
505491,1972,19--
508960,2010,izdošanas gads nav zināms
512693,1917,19--
512696,1917,19--
513132,1917,19--
513133,1917,19--
513136,1917,19--
513137,1917,19--
513138,1917,19--
513139,1917,19--
513142,1917,193-
513159,1983,19--
513167,1985,19--
513175,1985,19--
513179,1985,19--
513183,1985,19--
513185,1985,19--
513188,1985,19--
513189,1985,19--
513208,1938,1938-1939
513339,1994,19--
515165,1876,19--
517163,1892,1986-1995
518211,1881,"1881,1882"
520356,1900,19--
526563,2007,2010
526613,2009,2010-2013
528902,1996,19--
529230,1949,19--
529232,1949,19--
529252,1949,19--
529287,1940,1942-1943
529343,1986,1---
529344,1986,1---
529345,1986,1---
529346,1986,1---
529347,1986,1---
529348,1986,1---
529349,1986,1---
529351,1986,1---
529352,1986,1---
529353,1986,izdošanas gads nav zināms
529356,1986,izdošanas gads nav zināms
529357,1986,19--
529358,1986,1---
529359,1986,1---
529360,1986,izdošanas gads nav zināms
529362,1986,1---
529363,1986,19--
529364,1986,19--
529365,1986,19--
529366,1986,19--
529367,1986,19--
529368,1986,1---
529369,1986,19--
529370,1986,1---
529371,1986,1---
529378,1986,19--
529379,1986,19--
529381,1986,1---
529382,1986,19--
529383,1986,izdošanas gads nav zināms
529384,1986,izdošanas gads nav zināms
529386,1986,19--
529387,1986,19--
529388,1986,1---
529389,1986,1---
529390,1986,1---
529392,1986,1---
529393,1986,1---
529394,1986,1---
529395,1986,1---
529396,1986,19--
529397,1986,1---
529398,1986,1---
532698,1979,19--
538718,1983,19--
538813,1983,19--
539551,1977,19--
540355,1977,19--
543189,1975,199-
543957,1930,19--
543969,1930,19--
543970,1930,19--
543971,1930,19--
543981,1966,19--
543987,1962,19--
543990,1957,19--
543997,1953,19--
544015,1978,19--
544021,1964,19--
544022,1964,19--
544041,1934,1934-1935
544059,1966,19--
544074,1986,19--
544076,1977,19--
544080,1977,19--
544082,1977,19--
544091,1976,19--
544109,1976,19--
544111,1961,19--
544113,1924,19--
544124,1934,19--
544144,1987,19--
544151,1981,19--
544157,1987,19--
544172,1977,19--
544177,1986,1971-1974
544178,1986,19--
544193,1972,19--
544195,1974,19--
544197,1974,19--
544201,1974,19--
544203,1974,19--
544205,1974,19--
544207,1984,19--
544209,1974,19--
544210,1974,19--
544211,1974,19--
544214,1974,19--
544217,1974,19--
544218,1974,19--
544219,1974,19--
544220,1974,19--
544226,1971,19--
544228,1971,19--
544229,1971,19--
544232,1988,19--
544233,1988,19--
544235,1988,19--
544243,1988,19--
544245,1988,19--
544246,1988,19--
544255,1988,19--
544256,1988,19--
544257,1988,19--
544275,1930,19--
544281,1930,izdošanas gads nav zināms
553395,1982,19--
556674,1994,"1963, 1964"
559315,1975,1974
561927,1966,19--
561929,1960,19--
561949,1932,19--
561950,1932,19--
561961,1928,19--
561965,1928,19--
561967,1928,19--
561968,1928,19--
561970,1938,19--
561971,1938,19--
561978,1932,19--
561980,1936,19--
561984,1937,19--
562042,1937,19--
562072,1973,19--
562146,1982,19--
562186,1950,19--
562190,1951,19--
562196,1945,19--
562212,1986,19--
562229,1976,19--
562264,1967,19--
562283,1985,19--
562285,1985,19--
562299,1981,19--
562303,1976,19--
562315,1976,19--
562320,1981,19--
565495,1938,izdošanas gads nav zināms
565601,1935,20--
567002,1970,19--
567014,1970,19--
581800,1995,19--
581834,2011,20--
588417,1929,19--
590669,1929,19--
590925,1929,19--
590928,1929,19--
590933,1929,19--
590939,1929,19--
595263,1948,19--
595267,1971,19--
595278,1956,19--
595281,1936,19--
595284,1938,19--
595285,1938,19--
595288,1939,19--
595298,1932,19--
595301,1986,19--
595304,1940,1942
595312,1935,19--
595313,1935,19--
595314,1935,19--
595323,1936,19--
595327,1935,19--
595329,1938,19--
595336,1936,izdošanas gads nav zināms
595357,1938,19--
595361,1986,19--
595362,1986,19--
595369,1968,19--
595372,1972,19--
595374,1972,19--
595376,1973,19--
595377,1973,19--
595394,1938,19--
595395,1938,19--
595399,1935,19--
595401,1935,19--
600015,1922,192-
602362,1922,19--
602363,1922,19--
602365,1986,19--
602366,1986,19--
602367,1986,19--
602376,1977,19--
602380,1935,19--
602382,1938,19--
602383,1938,19--
602384,1938,1935
602390,1959,19--
602394,1935,1923-1925
602405,1938,19--
602406,1938,19--
602410,1935,19--
602411,1935,19--
602412,1935,19--
602416,1935,19--
602418,1933,19--
602429,1966,19--
602438,1948,19--
602441,1948,19--
602444,1981,19--
602446,1959,19--
602450,1972,19--
602451,1972,19--
602453,1980,19--
602456,1936,1938
602457,1936,19--
602459,1958,19--
602460,1958,19--
606625,1986,20--
607504,1986,20--
607514,1986,20--
621296,2011,19--
626762,2012,izdošanas gads nav zināms
628232,2012,2012-2014
637258,1998,19--
638808,1958,19--
638840,1966,19--
638842,1976,19--
638860,1956,19--
638866,1966,19--
638868,1966,19--
638876,1953,19--
638889,1976,19--
638891,1987,19--
638893,1976,19--
638894,1976,19--
638898,1934,19--
638899,1934,19--
638900,1934,19--
638912,1934,19--
638922,1933,19--
638923,1933,19--
638924,1933,19--
638949,1967,19--
638963,1967,19--
638975,1935,19--
638977,1937,19--
639029,1936,19--
639032,1906,19--
639034,1937,19--
639035,1937,19--
639043,1973,19--
639045,1965,19--
639061,1950,19--
639065,1938,19--
639073,1951,19--
639080,1953,19--
639082,1953,1980
639131,1976,19--
639862,1943,19--
639906,1943,19--
639907,1943,19--
639911,1943,19--
640251,1943,200-
649480,2011,20--
649823,2011,19--
653813,2011,201-
653885,1971,19--
653904,1989,19--
653911,1951,19--
653914,1949,19--
653923,1938,19--
654010,1981,19--
654019,1981,19--
654107,1976,1973
654155,1965,19--
660010,2012,199-
661111,1951,19--
661304,1951,199-
661311,1951,19--
661568,2013,19--
661572,2013,19--
661761,1983,19--
661766,1983,19--
662271,1983,199-
663308,1983,19--
663309,1983,19--
663311,1983,izdošanas gads nav zināms
663312,1983,19--
663317,1937,19--
663329,1964,19--
663346,1940,izdošanas gads nav zināms
663347,1940,19--
663349,1940,19--
663353,1939,19--
663378,1905,19--
663387,1926,19--
663389,1926,1972
663394,1912,19--
663399,1938,19--
669679,2012,2012-2014
675158,1905,19--
675159,1905,19--
675160,1905,19--
675161,1905,19--
675190,1927,19--
675201,1939,19--
675214,1910,19--
675215,1910,19--
675218,1908,19--
675221,1908,19--
675222,1908,19--
675225,1908,19--
675231,1958,19--
675232,1958,19--
675236,1959,19--
675239,1989,19--
675242,1989,19--
675272,1940,19--
675290,1989,19--
678357,2012,19--
678378,2012,194-
682100,1962,19--
682132,1939,19--
685477,2011,2012
690229,1970,19--
690251,1984,19--
690268,1966,19--
690288,1966,19--
690322,1970,19--
690381,1987,19--
690389,1979,19--
690430,1977,1987
690433,1977,1978
690502,1961,19--
698070,2013,20--
698418,2013,20--
698970,1934,19--
698972,1934,19--
698976,1949,19--
698979,1940,19--
698980,1940,19--
698994,1978,19--
699001,1961,19--
699002,1961,19--
699020,1921,19--
699022,1924,19--
699023,1924,19--
699024,1924,19--
699025,1924,19--
699026,1924,19--
699027,1924,19--
699028,1924,19--
699029,1924,19--
699036,1950,19--
699040,1902,19--
699041,1902,19--
699042,1902,19--
699044,1947,1960-1964
699050,1949,19--
699065,1938,19--
699066,1938,19--
699087,1923,19--
699096,1979,19--
699098,1971,19--
704770,1990,19--
705644,2014,19--
706530,1973,19--
706729,1973,19--
706730,1973,19--
706750,1979,19--
706754,1949,19--
706755,1949,19--
706757,1949,19--
706758,1949,19--
706766,1971,19--
706772,1971,19--
706780,1925,19--
706782,1925,19--
706787,1954,19--
706789,1954,19--
706790,1954,19--
706793,1954,19--
706795,1954,19--
706796,1954,19--
706798,1954,19--
706801,1924,19--
706804,1978,19--
706805,1978,19--
706808,1925,19--
706817,1971,19--
706820,1965,19--
706833,1924,19--
706845,1936,19--
706863,1966,19--
706864,1966,19--
706867,1966,19--
706885,1949,19--
706992,1949,19--
711057,2008,20--
714442,2014,19--
714457,1979,19--
714461,1965,19--
714477,1958,19--
714486,1937,19--
714489,1917,19--
714490,1917,19--
714492,1917,19--
714494,1961,19--
714506,1949,19--
714512,1980,19--
714513,1980,19--
714514,1980,19--
714517,1980,19--
714529,1978,19--
714530,1978,19--
714549,1949,1---
714550,1949,19--
714551,1949,19--
714552,1949,1---
714553,1949,1---
714554,1949,19--
714574,1974,19--
714621,1981,19--
714639,1980,19--
714653,1973,19--
714662,1986,1982
714667,1975,19--
714686,1983,19--
723334,1937,19--
723336,1988,19--
723337,1988,19--
723339,1988,19--
723346,1929,19--
723370,1971,19--
723382,1971,1934
723400,1941,19--
723402,1970,19--
723431,1939,19--
723432,1939,19--
723445,1974,19--
723446,1974,19--
723448,1926,19--
723449,1926,19--
723451,1926,19--
723452,1926,19--
723458,1971,19--
723464,1972,19--
723485,1959,19--
723621,1984,19--
726926,1933,"1930, 1931"
731039,2014,19--
735319,2014,20--
737543,2014,19--
748067,2010,2010/2011
750446,2014,20--
750489,2013,201-
750494,2013,20--
754979,2014,1976
757114,1957,199-
757513,1957,1958
761098,1916,193-
762245,1929,19--
762257,1929,19--
762541,2002,2003
762672,1941,19--
763195,1958,19--
763197,1980,19--
763207,1977,19--
763261,1970,19--
763274,1957,19--
763300,1975,19--
763316,1957,19--
763338,1969,19--
763362,1976,19--
763367,1981,1982
763376,1967,19--
763381,1983,1981
763391,1966,19--
763402,1977,19--
763403,1977,19--
763406,1927,19--
763409,1978,19--
763414,1921,19--
763449,1978,19--
763451,1978,19--
763452,1978,19--
763487,1985,19--
763497,1980,19--
763507,1996,1983
763533,1986,19--
763536,1995,19--
763754,1932,19--
764567,2004,2007
764888,2003,2006
765451,2005,2003
769008,2015,19--
769014,2015,19--
769742,2012,2013
769823,2013,201-
769832,2013,201-
769837,2013,201-
769849,2013,201-
769850,2013,201-
770618,2013,19--
771853,2011,20--
771969,1930,19--
771977,1922,19--
771978,1922,19--
771980,1934,19--
771981,1934,19--
771991,1982,19--
772028,1984,19--
772033,1921,19--
772034,1921,19--
772047,1921,19--
772052,1930,19--
772054,1930,19--
772058,1991,1979
772063,1942,19--
772068,1982,19--
772078,1968,19--
772079,1968,19--
772091,1889,19--
772097,1951,19--
772100,1949,19--
772110,1974,19--
772125,1943,19--
772129,1943,19--
772130,1943,19--
772131,1943,19--
772216,1969,19--
772228,1970,19--
772247,1976,19--
772248,1976,19--
772249,1976,19--
773327,1943,19--
773333,1957,19--
773337,1957,192-
773339,1924,19--
773340,1924,192-
773342,1933,19--
774083,1980,192-
774091,1980,19--
774092,1980,19--
775292,2008,2015
775298,2011,2013
775310,2012,2014
775520,1931,19--
775649,2015,nan
776006,2003,2013
776021,2006,201-
776069,2006,19--
776718,2015,1988
777131,2015,19--
777182,2008,19--
778157,2007,2010
780614,1936,"1967, 1968"
780629,1936,1969/1970
782673,2015,19--
782682,2015,19--
782867,2015,19--
783107,2010,19--
783142,2010,19--
783655,2011,19--
783736,1943,19--
783939,1943,19--
784057,1974,19--
784063,1967,19--
784072,1955,19--
784088,1975,19--
784109,1943,1935-1938
784111,1933,19--
784122,1979,19--
784204,1981,19--
784220,1965,19--
784587,2005,19--
784619,1941,19--
784758,1988,19--
784776,2005,19--
784785,2003,19--
787202,2015,19--
787358,1979,19--
787719,1972,19--
787969,1968,19--
788562,1968,1998
789657,1980,19--
790205,1981,19--
790301,1964,19--
790335,1972,1976
791337,1982,19--
792142,1974,197-
792794,1960,1973
794074,1971,19--
795240,1997,19--
795244,1997,19--
795602,1930,19--
795793,1940,1940-1941
795992,1929,19--
795993,1929,19--
795995,1929,19--
796030,1938,19--
796033,1968,19--
796034,1968,19--
796035,1968,19--
796036,1968,19--
796053,1915,19--
796058,1972,19--
796061,1903,19--
796097,1925,19--
796100,1965,19--
796151,1941,19--
796153,1941,19--
796177,1974,19--
796178,1974,19--
796263,1997,19--
796264,1997,19--
796265,1997,193-
796571,2003,19--
796613,1940,1930
796777,2003,"2013, 2003"
798238,1930,19--
798319,1941,19--
799291,1982,19--
799354,1982,19--
799731,1983,1984
800953,1920,1892
801205,1974,192-
801207,1974,19--
801568,2015,192-
801570,2015,192-
801575,2015,192-
801577,2015,192-
801611,2015,192-
801635,2015,192-
801650,2015,"1892, 1897"
801654,2015,19--
801698,2015,19--
802569,1912,19--
802849,1964,19--
802886,1961,1901
803096,1961,19--
803101,1961,19--
803103,1961,19--
803107,1961,19--
803424,1975,19--
803864,1936,19--
803867,1936,1932
803871,1937,19--
803872,1937,19--
803881,1887,19--
803884,1973,19--
803907,1893,189-
803912,1898,1---
803914,1896,1---
803929,1981,19--
803993,1940,19--
803998,1940,19--
804012,1940,19--
804562,1941,192-
807378,1932,19--
807383,1932,19--
807394,1939,19--
807396,1939,19--
807432,1985,19--
807447,1963,19--
807450,1936,19--
807451,1936,19--
807452,1936,19--
807456,1921,19--
807457,1921,19--
807460,1937,19--
807470,1937,19--
807474,1937,19--
807476,1937,19--
807481,1937,19--
807491,1972,19--
807499,1922,19--
807511,1937,19--
807516,1934,19--
807517,1934,19--
807548,1936,19--
807550,1936,19--
807551,1936,19--
807559,1934,19--
807561,1934,19--
807578,1938,19--
807580,1938,19--
807583,1925,19--
807592,1975,19--
807610,1990,19--
807612,1988,19--
807616,1940,19--
807626,1987,19--
807628,1987,19--
807629,1987,19--
807631,1987,19--
807632,1987,19--
807633,1987,19--
807634,1987,19--
807636,1987,19--
807637,1987,19--
807639,1987,1983
807645,1934,19--
807649,1934,19--
807650,1934,19--
807651,1934,19--
807653,1934,19--
807655,1934,19--
807656,1934,19--
807657,1934,19--
807658,1934,19--
807659,1934,19--
